Food,Rasa,Virya,Vipaka,Dosha_Effect
Mushroom Matar,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Kapha, cools Pitta"
Dal Tadka,"Pungent, Bitter",Heating,Pungent,"Balances Vata, reduces Kapha"
Kadhi Pakora,"Sour, Salty, Pungent",Heating,Sour,"Balances Kapha, agitates Pitta with excess frying"
Jeera Rice,"Salty, Earthy",Cooling,Sweet,"Balances Vata and Kapha, gentle on Pitta"
Matar Paneer,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Pitta, supports Kapha management"
Aloo Gobi,"Sweet, Pungent",Heating,Pungent,"Balances Vata, increases Kapha if heavy on oil"
Idli Sambar,"Savory, Sour",Cooling,Sour,"Balances all three doshas, particularly Pitta through cooling effect"
Roti with Chutney,"Salty, Sweet, Tangy",Cooling,Sweet,"Balances Vata and Pitta, light on Kapha"
Chole with Bhature,"Spicy, Salty",Heating,Pungent,Balances Kapha; may increase Pitta with heavy oils
Masoor Dal,"Sweet, Bitter",Heating,Sweet,"Calms Vata, supports Pitta balance"
Mushroom Khichdi,"Savory, Astringent",Cooling,Sweet,"Balances Vata and Kapha, light for Pitta"
Butter Chicken (Vegetarian Style),"Sweet, Sour",Heating,Sweet,Balances Vata; may increase Pitta with spice
Tandoori Paneer,"Spicy, Sour",Heating,Pungent,"Stimulates Agni, balances Vata; may increase Pitta with heavy spices"
Cauliflower Tikka,"Pungent, Sweet",Heating,Pungent,Balances Kapha; stimulates Vata for energy
Bhindi Masala,"Sweet, Spicy",Cooling,Sweet,Balances Vata and Kapha; gentle for Pitta with moderate spices
Gajar Halwa,Sweet,Cooling,Sweet,Nourishes Kapha; soothing for Vata; calming for Pitta when moderate
Vegetable Biryani,"Sweet, Pungent, Salty",Heating,Sweet,"Balances Vata and Pitta, may elevate Kapha when rich in ghee"
Khichdi,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, pacifies Pitta with mild spices"
Rajpan Sabzi,"Sweet, Sour, Bitter",Cooling,Sour,"Balances Pitta, calms Vata when boiled; reduces Kapha slightly"
Steamed Dimsums with Veg Filling,"Salty, Sweet",Cooling,Sweet,"Balances Vata and Kapha, light on Pitta"
Sambar Rice,"Sour, Sweet, Bitter",Heating,Sour,"Balances Pitta and Kapha, stabilizes Vata with legumes"
Kimchi Fried Rice,"Sour, Pungent, Salty",Heating,Sour,"Stimulates Agni; balances Kapha when used in moderation, can aggravate Pitta"
Moong Dal Khichdi,"Sweet, Umami",Cooling,Sweet,"Balances Vata and Kapha, pacifies Pitta with gentle spices"
Chole Tikki,"Spicy, Sour",Heating,Pungent,"Balances Kapha and Vata, warms digestive fire"
Sambar with Idli,"Sour, Sweet, Umami",Cooling,Sweet,"Balances Vata and Kapha, mildly soothing for Pitta"
Rasam with Rice,"Tangy, Spicy",Heating,Pungent,"Balances Vata and Kapha, can stimulate Agni; may elevate Pitta with chili"
Chicken Curry (vegetarian style),"Spicy, Sweet",Heating,Pungent,"Balances Vata and Kapha, can aggravate Pitta with heavy spices"
Tofu Stir-Fry with Veggies,"Sweet, Savory",Cooling,Sweet,"Balances Vata and Pitta, pacifies Kapha with light oil use"
Mango Lassi,"Sweet, Sour",Cooling,Sweet,"Balances Vata and Kapha, Pitta may be pacified slightly"
Chana Chaat,"Sweet, Sour, Salty, Tangy",Cooling,Sweet,"Balances Vata and Kapha, Pitta stabilized by tangy flavors"
Rasam,"Spicy, Sour",Heating,Sour,"Balances Kapha, Vata may be stimulated by heat"
Kadhi,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Pitta and Kapha, Vata slightly increased with yogurt"
Tomato Basil Pasta,"Sweet, Sour, Umami",Cooling,Sweet,"Balances Vata and Pitta, reduces Kapha mainly through herbs"
Coconut Curry,"Sweet, Salty, Sour",Cooling,Sweet,"Balances Vata and Kapha, Pitta may be pacified by coconutfat"
Pad Thai (Vegetarian),"Sweet, Sour, Salty, Umami",Heating,Sweet,"Balances all doshas, with emphasis on Kapha reduction"
Chole Chawal,"Pungent, Sweet",Heating,Pungent,"Balances Kapha, stimulates digestion in Pitta; may irritate Vata if heavy"
Rajma Rice,"Sweet, Pungent",Heating,Sweet,"Balances Kapha, supports Vata in dry conditions"
Mushroom Risotto,"Sweet, Umami (Salty)",Cooling,Sweet,"Balances Vata and Kapha, cools Pitta slightly"
Tofu Stir Fry,"Salty, Sweet",Cooling,Sweet,"Balances Vata, Pitta; light on oil reduces Kapha"
Paneer Tikka,"Sweet, Salty, Pungent",Heating,Pungent,"Stimulates Pitta, balances Kapha, can aggravate Vata with heavy spices"
Masala Chole,"Pungent, Sweet, Sour",Heating,Sweet,Balances Vata-Pitta; reduces Kapha when portioned modestly
Methi Thepla,"Sweet, Salty, Bitter",Cooling,Sweet,Balances Vata; cools Pitta; slight Kapha modulation
Tamarind Rice,"Sour, Sweet, Salty",Heating,Sour,Balances Vata and Pitta; may increase Kapha with excessive tamarind and oil
Coconut Rice,"Sweet, Salty, Creamy (not a listed rasa)",Cooling,Sweet,Nourishes Vata and Kapha; pacifies Pitta when light on spice
Gobi 65,"Pungent, Salty, Sour",Heating,Pungent,Excites Kapha; balances Vata; mildly reduces Pitta with minimal oil
Baajre ki Roti with Saag,"Sweet, Bitter, Astringent",Cooling,Sweet,"Balances Vata, pacifies Pitta, supports Kapha regulation"
Mango Sticky Rice,"Sweet, Sour",Cooling,Sweet,"Balances Kapha, nourishes Pitta with lightness for Vata"
Tomato Rice,"Sour, Sweet, Salty",Cooling,Sweet,"Balances Pitta, pacifies Vata, moderate Kapha increase"
Coconut Chutney,"Sweet, Sour, Salty",Cooling,Sweet,"Balances all three doshas, especially Pitta-prone"
Mushroom Makhani,"Sweet, Sour, Rich",Cooling,Sweet,"Balances Vata and Pitta, Mild Kapha increase"
Butter Paneer Kulcha,"Sweet, Salty, Rich",Heating,Sweet,Balances Vata; Pitta soft balance; Kapha stable
Sprouted Moong Chilla,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Kapha, calms Pitta"
Quinoa Tikki,"Sweet, Spicy",Heating,Pungent,"Balances Kapha, reduces Vata; Pitta slightly stimulated"
Palak Paneer with Garlic Aioli,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Pitta, slightly increases Kapha"
Aloo Paratha with Jeera Yogurt,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata and Kapha, strengthens digestion"
Gobhi Masala with Turmeric Crunch,"Pungent, Bitter",Heating,Pungent,"Balances Pitta, reduces Kapha"
Veg Biryani with Saffron Bloom,"Sweet, Pungent",Heating,Sweet,Balances all three doshas with slight Kapha reduction
Paneer Sandwich with Mint Chutney,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata, supports Pitta stability"
Masala Dosa with Coconut Chutney,"Sweet, Sour, Pungent",Heating,Pungent,"Balances Kapha, stimulates Agni (digestion)"
Rajma Chawal with Ghee Drizzle,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata and Kapha, energizes digestion"
Chana Masala with Turmeric Rice,"Pungent, Sweet, Sour",Heating,Pungent,"Balances Pitta, slightly increases Kapha"
Methi Thepla with Curd,"Sweet, Salty, Astringent",Cooling,Sweet,"Balancing for Vata and Kapha, supports digestion"
Baingan Bharta with Lemon,"Sour, Pungent, Bitter",Heating,Pungent,"Balances Pitta, reduces Kapha, steadies Vata"
Kadhi with Coriander Rice,"Sweet, Sour, Bitter",Cooling,Sweet,"Balances Vata and Pitta, gentle on Kapha"
Masala Chai with Cardamom,"Sweet, Astringent, Bitter",Cooling,Sweet,"Calms Vata, stabilizes Kapha"
Koddi Sarao (Okra Fry),"Sweet, Pungent",Heating,Pungent,"Balances Kapha, stimulates digestion"
Dudhi Halwa (Bottle Gourd Pudding),"Sweet, Mild",Cooling,Sweet,"Balances Vata, Pacifies Kapha"
Mughlai Paneer Roll,"Sweet, Salty, Pungent",Heating,Pungent,"Balances Kapha, supports metabolism of fats"
Amlaki Rice with Ginger,"Sour, Pungent, Astringent",Heating,Sour,"Balances Pitta, reduces Kapha, stimulates digestion"
Sabudana Khichdi with Peanuts,"Sweet, Salty, Nutty",Cooling,Sweet,"Balances Vata, provides steady energy"
Tomato Daal with Ghee,"Sweet, Sour, Pungent",Heating,Pungent,"Balances Vata and Pitta, increases Kapha"
Quinoa Khichdi,"Sweet, Umami (savory)",Cooling,Sweet,"Balances Vata and Kapha, slightly reduces Pitta"
Kitchari,"Sweet, Astringent",Cooling,Sweet,"Pacifies Vata and Kapha, mildly reduces Pitta"
Chole Bhature,"Sweet, Sour, Spicy",Heating,Pungent,"Balances Kapha, may aggravate Pitta"
Baingan Raita,"Salty, Sour, Sweet",Cooling,Sour,"Balances Pitta, calms Vata slightly"
Fish Curry (Ayurveda-inspired),"Spicy, Sour, Sweet",Heating,Sour,"Balances Pitta, nourishes Vata, can increase Kapha with rich oils"
Tofu Stir-Fry with Vegetables,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata and Kapha, gentle for Pitta"
Pulao with vegetables,"Sweet, Salty",Cooling,Sweet,Balances Vata and Kapha
Daal Bateta,"Sweet, Salty",Cooling,Sweet,"Balances Vata, Maintains digestion"
Jeera Rice with vegetables,"Smoky, Earthy",Cooling,Sweet,"Balances Vata, Supports digestion"
Vegetable Kurma,"Sweet, Nutty",Cooling,Sweet,Balances Vata and Kapha
Pulao with Vegetables,"Sweet, Salty",Cooling,Sweet,"Balances Vata, calms Pitta, lowers Kapha tendency"
Rajma Curry,"Sweet, Sour, Pungent",Heating,Pungent,"Balances Kapha, may increase Vata with low moisture content"
Mint-Coriander Rice,"Sweet, Fresh",Cooling,Sweet,"Balances Vata and Kapha, light for Pitta"
Lemon-Tooked Chickpeas,"Sour, Pungent, Astringent",Cooling,Sour,"Balances Kapha, stimulates Vata in moderation"
Mushroom Masala,"Sweet, Umami, Pungent",Heating,Pungent,"Balances Pitta, mildly calms Vata"
Kutchi Dabeli,"Sweet, Sour, Spicy",Heating,Pungent,"Balances Kapha, stimulates Vata during craving cycles"
Tomato and Cumin Lentils,"Sweet, Sour, Bitter",Cooling,Sweet,Balances all doshas with emphasis on Kapha reduction
Rajma Rice Bowl,"Sweet, Salty",Heating,Sweet,"Balances Vata, Supports digestion for heavy meals"
Bhindi Do Pyaza,"Sweet, Pungent",Heating,Pungent,"Balances Kapha and Pitta, energizes Vata when needed"
Spring Vegetable Raita,"Sweet, Salty, Tart",Cooling,Sweet,"Balances Vata and Pitta, pacifies Kapha when dairy is moderate"
Spinach Tortellini,"Sweet, Umami, Salty",Cooling,Sweet,"Balances Vata, supports digestion when paired with olive oil"
Baked Tadiq (Sesame) Rice,"Nutty, Salty, Sweet",Cooling,Sweet,"Balances Vata and Kapha, pacifies Pitta with moderate spices"
Tofu Scramble with Turmeric,"Salty, Bitter, Umami",Cooling,Sweet,"Balances Vata and Pitta, light on Kapha"
Baingan Bartha,"Sweet, Sour, Smoky",Cooling,Sweet,"Balances Vata and Pitta, light on Kapha"
Bailey’s Veg Chili,"Spicy, Sour, Salty",Heating,Pungent,"Balances Vata and Kapha, can stimulate Pitta if hot"
Mushroom Mutter Paneer,"Sweet, Umami",Cooling,Sweet,"Balances Vata and Kapha, cooling to Pitta"
Sweet Potato Curry,"Sweet, Mild Spicy",Cooling,Sweet,"Balances Vata, pacifies Pitta, supports Kapha with moderate spices"
Cabbage Thoran,"Sweet, Bitter",Cooling,Sweet,"Balances Vata and Pitta, light for Kapha"
Beetroot Risotto,"Sweet, Earthy",Cooling,Sweet,"Balances Vata and Kapha, gentle for Pitta"
Pasta Alfredo (Vegetarian),"Creamy, Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, may increase Kapha if rich in dairy"
Veg Burger with Whole Wheat Bun,"Sweet, Salty, Umami",Heating,Sweet,"Balances Vata, supports Pitta balance with moderate chewing exercise"
Masala Chole with Bhature,"Sweet, Sour, Spicy",Heating,Pungent,"Balances Kapha, decreases Vata when sour-spicy profile is moderate"
Dal Tadka with Jeera Rice,"Sweet, Bitter, Astringent",Heating,Sweet,"Balances Vata and Pitta, stabilizes Kapha"
Ragi Mudde with Soppu,"Earthy, Slightly Sweet",Cooling,Sweet,"Balances Vata and Kapha, grounding effect"
Muthia Sabzi,"Savory, Mild Sweet",Cooling,Sweet,"Soothes Vata, balances Kapha, supports Pittas calmness"
Chole-Kadhi,"Sweet, Sour, Spicy",Heating,Pungent,"Balances Vata, increases Pitta with heavy spice"
Aeglici Paneer Tikka,"Savory, Spicy",Heating,Pungent,"Balances Vata and Pitta, moderate Kapha increase"
Pesto Pasta,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata and Kapha, lightens Pitta"
Makhani Paneer,"Sweet, Rich",Heating,Sweet,"Balances Pitta, increases Kapha when heavy"
Tandoori Vegetables,"Salty, Spicy, Sour",Heating,Pungent,"Balances Vata, increases Pitta with heavy spice"
Coconut Veg Curry,"Sweet, Salty, Sour",Cooling,Sweet,"Balances Vata, pacifies Kapha"
Lemon Rice,"Sour, Sweet",Cooling,Sour,"Balances Pitta, mildly pacifies Kapha"
Sweet Potato Kichdi,"Sweet, Mild",Cooling,Sweet,"Balances Vata, gentle on digestion"
Rajma Thali,"Sweet, Rich, Salty",Heating,Sweet,"Balances Kapha, supports digestion in Vata"
Moringa Dal,"Earthy, Nutty",Cooling,Sweet,"Balances Vata, lowers Pitta slightly"
Carrot Gajar Halwa,"Sweet, Rich",Heating,Sweet,"Balances Kapha, energizes Vata"
Butter Chicken (Vegetarian Alternative),"Salty, Sweet, Sour",Heating,Sweet,"Balances Vata and Kapha, elevates Pitta slightly"
Rajgira Thalipeeth,"Sweet, Nutty",Cooling,Sweet,"Balances Vata and Kapha, light for stomach"
Rogan Josh (Vegetarian),"Spicy, Rich",Heating,Pungent,"Balances Kapha, slightly elevates Pitta, calms Vata with yogurt"
Puri with Chole,"Salty, Sour",Heating,Sour,"Balances Kapha, cools Pitta with yogurt accompaniments"
Jeera Rice with Cucumber Raita,"Salty, Sweet, Astringent",Cooling,Sweet,"Balances Vata and Pitta, reduces Kapha tendencies"
Tofu Stir-fry with Vegetables,"Sweet, Salty, Umami",Heating,Sweet,"Balances Vata and Kapha, supports Pitta with light oils"
Mango Curry,"Sweet, Sour",Cooling,Sweet,Balances all three doshas with fruity acidity
Cashew Pulao,"Sweet, Nutty",Heating,Sweet,"Balances Vata, mildly elevates Kapha with rich fat content"
Palak Paneer with Walnut Crust,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata and Pitta, Slightly increases Kapha"
Aloo Paratha with Mint Chutney,"Sweet, Salty",Heating,Sweet,"Balances Vata, Pacifies Kapha with digestive effort"
Gobhi Masala (Cauliflower Curry),"Sweet, Pungent, Bitter",Heating,Pungent,"Balances Kapha, Slightly reduces Pitta"
Veg Biryani with Saffron,"Sweet, Pungent, Astringent",Heating,Sweet,Balances all doshas with strong digestion
Mung Dal Khichdi,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Kapha, gently supports digestion"
Paneer Tikka with Bell Pepper,"Sweet, Salty, Pungent",Heating,Pungent,"Balances Pitta, mildly increases Kapha"
Chana Masala with Rice,"Sweet, Salty, Pungent",Heating,Pungent,"Balances Pitta and Vata, reduces Kapha"
Khichdi with Ghee,"Sweet, Fatty",Cooling,Sweet,"Balances Vata, nourishes Kapha in moderation"
Tamarind Rice (Puliyodarai),"Sour, Sweet, Salty",Cooling,Sour,"Balances Vata and Pitta, light on Kapha"
Rajma Curry with Jeera Rice,"Sweet, Pungent, Salty",Heating,Pungent,"Balances Vata, supports Pitta, mild Kapha increase"
Broccoli Makhani (Creamy),"Sweet, Sour, Salty",Heating,Sweet,"Balances Vata and Pitta, gentle Kapha rise"
Beetroot and Quinoa Pulao,"Sweet, Astringent",Cooling,Sweet,"Balances Vata, reduces Kapha while energizing Pitta"
Cabbage and Carrot Stir-Fry,"Sweet, Pungent",Heating,Pungent,"Stimulates Agni, balances Vata, may increase Kapha if heavy"
Matar Paneer (Peas and Paneer),"Sweet, Salty, Slightly Sour",Heating,Sweet,"Balances Kapha, lightens Pitta, supports Vata"
Ragi Mudde with Soppina Saaru,"Sweet, Umami",Cooling,Sweet,"Balances Vata and Kapha, grounding for digestion"
Dal Tadka with Lauki,"Sweet, Sour, Salty",Heating,Pungent,"Balances Vata, reduces Kapha, moderate Pitta support"
Tomato Rasam with Tadka,"Sour, Salty, Sweet",Heating,Sour,"Balances Vata and Kapha, stimulates digestion"
Paneer Bhurji with Spinach,"Sweet, Salty, Umami",Heating,Sweet,"Balances Vata and Pitta, mildly increases Kapha"
Veg Curry with Lentils,"Sweet, Sour",Heating,Sweet,"Balances Vata and Pitta with moderate spice, may reduce Kapha when legumes are dry-roasted"
Chole Chawal (Chickpea & Rice),"Sweet, Sour",Heating,Sour,"Balances Vata and Kapha, stimulates digestion for some Pitta types"
Kheer (Rice Pudding),"Sweet, Rich",Cooling,Sweet,"Balances Vata and Kapha, soothing for Pitta when dairy is moderate"
Mung Dal Tadka,"Bitter, Pungent, Salty",Heating,Pungent,"Balances Vata, calms Kapha, can mildly aggravate Pitta with heavy tempering oil"
Dhokla,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Kapha and Vata, mild Vata relief, gentle on digestion"
Ragi Mudde,"Earthy, Mild",Cooling,Sweet,"Grounds Vata, balances Pitta, supportive for Kapha when consumed with vegetables"
Sattu Lassi,"Sweet, Sour",Cooling,Sweet,"Pacifies Pitta, balances Kapha, soothing Vata digestively"
Bateta Nu Bhonu,"Salty, Sour",Heating,Sour,"Balances Vata, reduces Kapha when eaten with ghee; can mildly elevate Pitta with heat"
Tadka Chawal,"Salty, Spicy",Heating,Pungent,"Balances Vata and Kapha, increases Pitta with heavy spice pressure"
Sundal,"Nutty, Salty",Cooling,Sweet,"Balances Vata and Kapha, gentle for Pitta"
Palak Paneer with Nutmeg,"Sweet, Astringent",Heating,Sweet,"Balances Vata and Pitta, Slightly increases Kapha"
Gobhi Masala with Peas,"Pungent, Sweet",Heating,Pungent,Balances Vata; increases Kapha if eaten in excess
Paneer Sandwich with Whole Wheat,"Sweet, Salty",Cooling,Sweet,Balances Kapha; calms Pitta; may mildly reduce Vata when warm
Pasta Alfredo with Basil,"Sweet, Umami",Cooling,Sweet,Balances Vata; can increase Kapha if heavy on cheese
Veg Burger with Chickpea Patty,"Sweet, Salty, Pungent",Heating,Sweet,Balances Vata; may increase Pitta with spicy sauces
Miso Ramen with Tofu,"Salty, Umami, Pungent",Heating,Sour,Balances Kapha; may aggravate Pitta if soy is overused
Quinoa Khichdi with Turmeric,"Sweet, Astringent",Heating,Sweet,Balances all three doshas in moderate portions
Rajma-Chawal with Ghee,"Sweet, Salty",Heating,Sweet,Balances Vata and Kapha; can increase Pitta with excess ghee
Baingan Bharta with Jeera,"Pungent, Sweet",Cooling,Pungent,Balances Kapha; calms Vata when eaten warm
Seaweed Salad with Sesame,"Salty, Sour, Umami",Cooling,Sour,Balances Vata and Kapha; may reduce Pitta when light on oil
Lentil Dahl with Mustard Seeds,"Sweet, Pungent",Heating,Sweet,Balances Vata; supports Pitta in moderation
Kadhi with Rice Mix,"Sweet, Sour, Salty",Heating,Sweet,Balances all three doshas when portions are balanced
Chole with Spinach,"Sweet, Sour, Pungent",Heating,Pungent,Balances Vata and Pitta; may increase Kapha if heavy on oil
Rajma Chawal (Kidney Beans with Rice),"Sweet, Salty, Pungent",Heating,Sweet,Balances Vata in fiber-rich meal; supports Kapha digestion
Chickpea Tikka Wrap,"Salty, Pungent, Sweet",Heating,Pungent,Increases Agni; balances Vata with protein and fiber
Jeera Rice with Mixed Veg,"Sweet, Nutty (Astringent)",Cooling,Sweet,"Soothes Vata, supports Kapha balance when veggies are varied"
Tofu Stir-fry with Quinoa,"Salty, Sour, Umami (Pungent)",Cooling,Sour,"Balances Vata and Kapha, may slightly reduce Pitta awareness"
Mushroom Pulao,"Sweet, Salty, Pungent",Heating,Pungent,"Activates Agni, balances Vata with whole grains"
Kaddu Sabzi (Pumpkin Stir-fry),"Sweet, Astringent",Cooling,Sweet,"Pacifies Pitta, calms Vata with fiber-rich pumpkin"
Carrot Beetroot Salad with Chaat Masala,"Sweet, Sour, Salty",Cooling,Sweet,Balances all doshas when eaten fresh and with oil-free dressing
Green Gram Idli,"Sweet, Salty",Cooling,Sweet,Promotes Vata-Ditta harmony; gentle on Kapha with proper digestion
Samosa Chaat,"Salty, Sour, Spicy",Heating,Pungent,"Balances Kapha, increases Vata in heavy snack portions"
Kadai Paneer,"Pungent, Sweet",Heating,Pungent,"Balances Pitta, increases Kapha with rich gravy"
Quinoa Pulao,"Sweet, Sour",Cooling,Sweet,"Balances all three doshas, especially Vata and Kapha"
Baileys Pasta,"Sweet, Creamy",Cooling,Sweet,"Balances Vata, lightly pacifies Kapha with dairy balance"
Miso Soup with Tofu,"Umami, Salty",Cooling,Sweet,Calms Vata and Kapha; mildly balances Pitta.
Thai Green Curry,"Sweet, Sour, Pungent",Heating,Pungent,Balances Vata and Kapha; Pitta can rise with coconut milk.
Bibimbap,"Sweet, Salty, Bitter",Heating,Sweet,Balances Vata and Kapha; Pitta remains stable with light sesame oil.
Quinoa Vegetable Stir-Fry,"Sweet, Salty, Astringent",Cooling,Sweet,Balances all doshas with balanced vegetables and minimal oil.
Lentil Soup,"Sweet, Sour",Cooling,Sweet,Balances Vata and Kapha; Pitta may rise slightly with tangy lemon.
Tandoori Chicken (Paneer variant),"Pungent, Salty",Heating,Pungent,Balances Kapha and Pitta; may aggravate Vata if heavy on yogurt.
Sushi Nigiri (Avocado Veg),"Sweet, Umami",Cooling,Sweet,Balances Vata; Pitta stable; Kapha may rise with avocado portion.
Ratatouille with Quinoa,"Sweet, Sour",Cooling,Sweet,Balances Vata and Pitta; Kapha neutral with varied vegetables.
Butter Chicken (Tofu),"Sweet, Salty, Pungent",Heating,Sweet,Balances Vata; may increase Pitta with rich sauce.
Makhana Kheer,"Sweet, Astringent",Cooling,Sweet,Calms Vata and Pitta; Kapha may rise with excess milk and nuts.
Tomato Basil Soup,"Sweet, Sour",Cooling,Sour,Balances Kapha; pacifies Pitta when not overly acidic
Rajma,"Sweet, Salty",Heating,Sweet,Balances Vata and Kapha; can elevate Kapha if served in large portions
Spinach Lemon Rice,"Sweet, Sour",Cooling,Sour,Balances Vata and Pitta; light on Kapha
Lemon Rice with Beans,"Sour, Umami, Salty",Cooling,Sour,Pacifies Pitta; balances Kapha with moderate portions
Pakhala Bhata (Fermented Rice),"Sour, Salty",Cooling,Sour,Balances Vata; Reduces Pitta; Mild Kapha increase
Corn Do-Piaza,"Sweet, Spicy, Sour",Heating,Sweet,Balances Vata; Pitta may rise slightly; Kapha balanced
Tawa Frying Paneer,"Sweet, Salty, Spicy",Heating,Pungent,Balances Vata; Pitta slightly increased; Kapha stable
Sarson Ka Saag with Makki Di Radi,"Bitter, Sweet, Astringent",Cooling,Sweet,"Balances all doshas, with Pitta reduction"
Jeera Rice with Vegetables,"Nutty, Sweet, Salty",Cooling,Sweet,"Soothes Vata, supports balanced Pitta and Kapha"
Tofu Stir-fry,"Sweet, Salty, Pungent",Heating,Pungent,"Energizes Kapha, calms Vata and Pitta with proper sauce balance"
Kathi Roll (Veg),"Sweet, Sour, Salty",Heating,Sweet,"Balances Vata, can elevate Kapha if heavy fillings"
Baati Churma (vegetarian variant),"Sweet, Salty, Bitter",Heating,Sweet,"Stimulates digestive fire, may imbalance Kapha if used in excess"
Coconut Dal,"Sweet, Salty",Cooling,Sweet,"Soothes Vata, reduces excess Kapha with light spices and coconut"
Tofu Tikka Wrap,"Sweet, Salty, Pungent",Heating,Pungent,"Balances Pitta, cools Vata"
Spinach Rice,"Sweet, Bitter",Cooling,Sweet,"Balances Vata and Pitta, mildly reduces Kapha"
Biriyani with Rich Gravy,"Sweet, Spicy, Sour",Heating,Pungent,"Balances Kapha and Pitta, can aggravate Vata with heavy oils"
Moong Dal Chilla,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Kapha, gentle on Pitta"
Butter Chicken (Paneer variant),"Sweet, Salty, Sour",Heating,Sweet,Balances Kapha; increases Pitta if heavy cream used
Tom Kha Gai (Tofu version),"Sweet, Sour, Salty",Cooling,Sour,"Balances Vata and Kapha, cools Pitta slightly"
Mapo Tofu (vegan),"Pungent, Sour, Sweet",Heating,Pungent,"Balances Vata, stimulates Pitta with chili oil"
Mujadara,"Sweet, Nutty",Cooling,Sweet,Balances Vata; calms Pitta; light on Kapha
Quinoa Veg Bowl,"Sweet, Sour, Umami",Cooling,Sweet,Balances Vata and Kapha; supports Pitta stability
Ratatouille,"Sweet, Sour, Bitter",Cooling,Sweet,Balances Vata and Kapha; pacifies Pitta with fresh herbs
Makhani Dal Tadka,"Sweet, Bitter, Pungent",Heating,Pungent,Balances Kapha; can aggravate Pitta if heavily spicy
Quinoa Kichdi,"Sweet, Astringent",Cooling,Sweet,Balances Vata and Kapha; gentle for Pitta
Tomato Rasam,"Sour, Sweet, Salty",Heating,Sour,"Balances Pitta, reduces Kapha; stimulates Vata slightly"
Seaweed Salad,"Salty, Sour",Cooling,Sour,Balances Vata; cools Pitta; light for Kapha
Butter Chicken (vegetarian alternative),"Sweet, Spicy, Rich",Heating,Pungent,Increases Kapha and Pitta if overused; balances Vata with protein and fat
Aloo Paratha with Cennu Chutney,"Sweet, Salty, Pungent",Heating,Sweet,"Balances Vata, Pacifies Kapha with warming effect"
Paneer Tikka Masala,"Sweet, Pungent, Salty",Heating,Pungent,"Balances Kapha and Pitta, light on Vata"
Rajma Stew,"Sweet, Salty, Bitter",Heating,Sweet,"Balances Vata, alleviates Kapha heaviness"
Tawa Paneer,"Sweet, Salty, Pungent",Heating,Pungent,Balancess all three doshas with slight kapha rise
